wells.saudi.chemistry.pH|wells.saudi.chemistry.Eh|wells.saudi.chemistry.TDS|wells.saudi.chemistry.Ca|wells.saudi.chemistry.K|wells.saudi.chemistry.Mg|wells.saudi.chemistry.Na|wells.saudi.chemistry.HCO3|wells.saudi.chemistry.CI|wells.saudi.chemistry.SO4|wells.saudi.chemistry.NO3|wells.saudi.chemistry.F|wells.saudi.chemistry.PO4|wells.saudi.chemistry.TH|wells.saudi.chemistry.TA|wells.saudi.chemistry.TS|wells.saudi.chemistry.SS|wells.saudi.chemistry.COD|wells.saudi.chemistry.BOD|wells.saudi.chemistry.DO|wells.saudi.chemistry.latitude|wells.saudi.chemistry.longitude|wells.saudi.chemistry.altitude.ft|wells.saudi.chemistry.fault|wells.saudi.chemistry.geology|wells.saudi.metals.As|wells.saudi.metals.B|wells.saudi.metals.Ba|wells.saudi.metals.Be|wells.saudi.metals.Cd|wells.saudi.metals.Co|wells.saudi.metals.Cr|wells.saudi.metals.Cu|wells.saudi.metals.Fe|wells.saudi.metals.Hg|wells.saudi.metals.Mn|wells.saudi.metals.Mo|wells.saudi.metals.Pb|wells.saudi.metals.Se|wells.saudi.metals.Zn|wells.saudi.metals.latitude|wells.saudi.metals.longitude|wells.saudi.metals.altitude.ft|wells.saudi.metals.fault|wells.saudi.metals.geology
7.5|377|1780|269|19|75|338|226|852|302|42|1.1|0.4|977|185|3320|1540|0.4|1.1|6.7|28.63811|34.798061|257|400|Sand,Granite|0.2|15.2|7.1|0.3|0.3|0.1|0.5|0.6|93|0.5|0.1|26|2.2|1.5|0.8|28.63811|34.798061|257|400|Sand,Granite
7.4|382|1456|259|20|68|257|183|710|312|41|1|0.1|925|150|2946|1490|0.2|1.4|6.5|28.603468|34.810458|1652|200|Alkaline,Granite,Sand|0.3|9.4|7.5|0.3|0.4|0.1|0.3|0.6|14|18.7|0.3|14|1.9|1.8|0.6|28.603468|34.810458|1652|200|Alkaline,Granite,Sand
7.4|378|1471|476|35|66|238|189|710|797|40|1.1|0.1|1460|155|2976|1505|0.4|1.9|6.6|28.575879|34.844785|924|0|Alkaline,Sandstone |0.7|9.6|7.1|0.3|0.3|0.2|0.1|0.7|23|58.3|0.1|17|2.2|0.7|0.5|28.575879|34.844785|924|0|Alkaline,Sandstone 
7.5|382|1578|374|17|60|226|220|745|413|39|1.1|0.1|1180|180|3144|1566|0.8|1.5|6.7|28.620362|34.876969|1815|50|Alkaline|0.2|9.9|6.8|0.4|0.4|0.3|0.4|0.6|2.5|3.9|0.2|24|2.8|1.5|0.3|28.620362|34.876969|1815|50|Alkaline
7.7|376|1411|291|7|58|191|214|710|178|40|1.1|0.1|966|175|2906|1495|1|1.4|7|28.560586|34.990046|1408|50|Granite,Volcanic|0.7|9.1|8.8|0.4|0.3|0.2|0.5|0.7|3.7|20|0.2|11|2.3|0.9|1.6|28.560586|34.990046|1408|50|Granite,Volcanic
7.8|380|1400|464|3|58|338|159|710|935|40|1|0.1|1400|130|2880|1480|0.4|1.9|6.1|28.602789|34.992551|2640|150|Volcanic|0.3|9.3|8.7|0.4|0.3|0.1|0.3|0.5|2|3.2|0.2|27|2.2|0.7|3.6|28.602789|34.992551|2640|150|Volcanic
7.6|374|1683|369|17|83|272|128|781|606|42|1|0.1|1261|105|3198|1515|0.8|0.4|6|28.488311|34.976893|956|0|Gypsum|0.3|18.5|9.2|0.4|0.3|0.1|0.6|0.5|4|2.3|0.1|13|2.5|2.3|1.6|28.488311|34.976893|956|0|Gypsum
7.3|377|1184|330|10|42|132|128|568|341|42|1|0.1|998|105|2559|1375|1.2|1.5|7|28.572316|34.807835|1312|100|Alkaline|0.6|7|13.9|0.4|0.3|0.1|0.4|0.5|1.2|19.2|0.1|18|2.5|0.9|1.2|28.572316|34.807835|1312|100|Alkaline
7.5|370|1784|311|39|73|352|153|781|634|7|1|0.1|1078|125|3240|1456|0.4|1.9|7.5|28.438361|34.786616|595|200|Gypsum|0.2|8.5|3.3|0.3|0.3|0.1|0.3|0.6|2.7|1.9|0.3|31|3|0.1|0.8|28.438361|34.786616|595|200|Gypsum
7.4|367|1319|316|8|59|447|134|639|925|45|1|0.1|1033|110|2820|1501|1|1.7|7.5|28.553648|34.903739|2291|205|Volcanic,Sandstone|0.1|8.6|24.6|0.4|0.3|0.2|0.8|0.5|0.8|21.7|0.1|25|2.1|1.5|1.4|28.553648|34.903739|2291|205|Volcanic,Sandstone
7.6|367|985|234|10|35|112|165|497|120|40|1|0.1|729|135|2317|1332|0.4|1.7|7|28.651337|34.876725|3168|0|Alkaline,Granite |0.7|6.6|17.4|0.3|0.3|0.2|0.4|0.5|1.6|4.3|0.2|18|2.1|1.5|0.5|28.651337|34.876725|3168|0|Alkaline,Granite 
7.6|386|1048|214|5|37|109|140|426|178|38|1|0.1|689|115|2488|1440|1.2|0.5|6.9|28.584441|35.186706|2307|200|Granite|0.8|7|10.8|0.4|0.3|0.2|0.6|0.7|1.3|1|0.2|27|2.7|2.8|0.4|28.584441|35.186706|2307|200|Granite
